P_ID,Property_name,Price,BHK,Transaction_type,Floor,Facing_Direction,Furnishing,Ownership,Bathrooms,Car_Parking,Status,Product_link,Area_in_sqr_feet,Price_per_sqr_feet
P_1,ARS Real Estete,5200000,3,New Property,1,East,Unfurnished,Freehold,2,1,Ready to Move,https://www.magicbricks.com/farm-side-apartments-chhattarpur-new-delhi-pdpid-4d4235333234353835,1200,4333
P_2,Aakash Sharma Sharma ,6500000,3,New Property,1,East,Semi-Furnished,Freehold,2,1,Under Construction,https://www.magicbricks.com/buildwick-corner-homes-chhattarpur-new-delhi-pdpid-4d4235333335333533,1400,4643
P_3,Aakash Sharma Sharma 1,70000000,4,New Property,2,East,Semi-Furnished,Freehold,5,1,Ready to Move,https://www.magicbricks.com/premium-builder-floors-defence-colony-new-delhi-pdpid-4d4235333331333831,2100,33333
P_4,Aakash Sharma Sharma 2,35000000,3,New Property,1,East,Semi-Furnished,Freehold,2,2,Ready to Move,https://www.magicbricks.com/luxury-builder-floor-greater-kailash-2-new-delhi-pdpid-4d4235333330323231,1800,19444
P_5,Aggarwal Real Estate,2500000,2,Resale,1,East,Semi-Furnished,Freehold,2,1,Ready to Move,,530,4545
P_6,J.R Developers,8700000,3,New Property,2,North,Semi-Furnished,Freehold,2,1,Ready to Move,,770,10235
P_7,Luxury Floors By Mark Developers,7430000,3,New Property,4,East,Semi-Furnished,Freehold,2,1,Ready to Move,,1125,5941
P_8,Negi Associates,17500000,3,Resale,3,North - West,Unfurnished,Freehold,2,1,Ready to Move,https://www.magicbricks.com/manglik-apartment-dwarka-sector-6-new-delhi-pdpid-4d4235303131313634,1800,9722
P_9,Real Estate Consultant,8000000,3,New Property,2,North - East,Semi-Furnished,Freehold,3,1,Ready to Move,,1000,7273
P_10,Growmax Wealth Management Services,9800000,2,New Property,9,North - East,Semi-Furnished,Freehold,2,1,Ready to Move,,1100,8167
P_11,Raghuvanshi Properties,3700000,3,New Property,2,East,Unfurnished,Freehold,2,1,Ready to Move,,729,4568
P_12,Trinetra Realtors 1,18000000,3,Resale,5,North - East,Unfurnished,Freehold,3,1,Ready to Move,,1850,9730
P_13,Trinetra Realtors 2,9500000,2,Resale,2,West,Furnished,Freehold,1,2,Ready to Move,https://www.magicbricks.com/jangpura-b-jangpura-new-delhi-pdpid-4d4235313730313837,900,10556
P_14,R V Properties,67500000,4,New Property,3,North - East,Semi-Furnished,Co-operative Society,4,2,Under Construction,,300,25000
P_15,White Collar Realty,56000000,4,New Property,5,North - East,Semi-Furnished,Freehold,6,1,Under Construction,https://www.magicbricks.com/tarc-tripundra-bijwasan-new-delhi-pdpid-4d4235333332373335,2206,25385
P_16,Kaushal  Dubey 1,240000000,4,New Property,4,North,Furnished,Freehold,5,6,Under Construction,,6500,34286
P_17,Kaushal  Dubey 2,75000000,4,Resale,2,North,Semi-Furnished,Freehold,5,2,Ready to Move,,3600,20833
P_18,Delhi Home 1,52500000,4,New Property,2,East,Semi-Furnished,Freehold,5,2,Under Construction,,300,19444
P_19,Delhi Home 2,6500000,1,Resale,8,South - East,Furnished,Freehold,1,1,Ready to Move,,410,13402
P_20,Delhi Home 3,30600000,2,New Property,16,North - East,Semi-Furnished,Freehold,2,1,Under Construction,https://www.magicbricks.com/godrej-south-estate-okhla-new-delhi-pdpid-4d4235313235323335,1196,25585
P_21,Delhi Home 4,25000000,3,Resale,2,North - East,Semi-Furnished,Freehold,3,1,Ready to Move,https://www.magicbricks.com/dda-flats-munirka-munirka-new-delhi-pdpid-4d4235303336333534,2075,12048
P_22,Delhi Home 5,54900000,3,New Property,1,East,Semi-Furnished,Freehold,2,1,Under Construction,https://www.magicbricks.com/dlf-one-midtown-moti-nagar-new-delhi-pdpid-4d4235333234373937,2366,23204
P_23,Delhi Home 6,22000000,3,New Property,1,East,Furnished,Freehold,2,1,Ready to Move,https://www.magicbricks.com/dlf-capital-greens-1-and-2-moti-nagar-new-delhi-pdpid-4d4235303031303330,1500,14667
P_24,Delhi Home 7,6800000,4,New Property,3,East,Semi-Furnished,Freehold,3,1,Ready to Move,https://www.magicbricks.com/skyom-apartment-mahavir-enclave-new-delhi-pdpid-4d4235333332303835,1200,5667
P_25,Delhi Home 8,4800000,3,New Property,1,East,Furnished,Freehold,2,1,Ready to Move,https://www.magicbricks.com/mitya-homes-dwarka-mor-new-delhi-pdpid-4d4235313232303033,920,5217
P_26,Delhi Home 9,110000000,4,New Property,1,East,Semi-Furnished,Freehold,4,1,Ready to Move,https://www.magicbricks.com/luxury-builder-floor-greater-kailash-1-new-delhi-pdpid-4d4235333331333333,5400,20370
P_27,Delhi Home 10,7500000,3,New Property,1,East,Semi-Furnished,Freehold,2,1,Ready to Move,https://www.magicbricks.com/hcs-nature-plus-chhattarpur-new-delhi-pdpid-4d4235333333383039,1400,5357
P_28,Delhi Home 11,45000000,3,New Property,1,East,Semi-Furnished,Freehold,2,1,Ready to Move,https://www.magicbricks.com/premium-home-greater-kailash-1-new-delhi-pdpid-4d4235333235353631,1800,25000
P_29,Delhi Home 12,36500000,3,New Property,1,East,Semi-Furnished,Freehold,3,1,Ready to Move,https://www.magicbricks.com/premium-luxury-home-greater-kailash-1-new-delhi-pdpid-4d4235333333333531,1872,19498
P_30,Delhi Home 13,51500000,5,Resale,4,North - West,Furnished,Freehold,5,1,Ready to Move,,4000,10300
P_31,Delhi Home 14,70000000,4,New Property,2,East,Semi-Furnished,Freehold,5,1,Ready to Move,https://www.magicbricks.com/premium-builder-floors-defence-colony-new-delhi-pdpid-4d4235333331333831,2100,33333
P_32,Delhi Home 15,25000000,3,Resale,2,North - East,Semi-Furnished,Freehold,3,1,Ready to Move,https://www.magicbricks.com/dda-flats-munirka-munirka-new-delhi-pdpid-4d4235303336333534,2075,12048
P_33,Delhi Home 16,54900000,3,New Property,1,East,Semi-Furnished,Freehold,2,1,Under Construction,https://www.magicbricks.com/dlf-one-midtown-moti-nagar-new-delhi-pdpid-4d4235333234373937,2366,23204
P_34,Delhi Home 17,22000000,3,New Property,1,East,Furnished,Freehold,2,1,Ready to Move,https://www.magicbricks.com/dlf-capital-greens-1-and-2-moti-nagar-new-delhi-pdpid-4d4235303031303330,1500,14667
