P_ID,Property_name,Price,BHK,Transaction_type,Floor,Facing_Direction,Furnishing,Ownership,Society_name,Bathrooms,Car_Parking,Status,Agent_name,Buyers_from_agents,Owner_name,Address,Product_link,Area_in_sqr_feet,Price_per_sqr_feet,Reviews
P_1,ARS Real Estete,52 Lac,3,New Property,,,Unfurnished,,Farm Side Apartments,2,,Ready to Move,,7000,,"Farm Side Apartments,  Chhattarpur , New Delhi",https://www.magicbricks.com/farm-side-apartments-chhattarpur-new-delhi-pdpid-4d4235333234353835,1200,"4,333 per sqft","Farm Side Apartments are Luxury Builder Floors located in Chhattarpur near Metro Station at affordable prices with all modern amenities.3 Side Open Building with Cross VentilationInterior design of every room is based on principle of VastuIn proximity to spas, fitness centers , hospitals, banks, metro stations and supermarketsOffering 1 BHK, 2 BHK & 3 BHK. Perfect blend of natural beauty and lavish amenities and just a few walks away from all the comfortable lifestyles such as spas, fitness centers, hospitals, banks, metro stations, supermarkets, etc.Project offers you a top-quality living at a very reasonable price. Vaastu Compliant, 3 sides Open Building with cross ventilation. Flat is very spacious and gets ample light. Interior design of every room is based on principle of VastuThe flat has 24x7 Electricity & Water Supply."
P_2,Aakash Sharma Sharma ,65 Lac,3,New Property,,,Semi-Furnished,,Buildwick Corner Homes,,1,Under Construction,,7000,,"Buildwick Corner Homes,  Chhattarpur , New Delhi",https://www.magicbricks.com/buildwick-corner-homes-chhattarpur-new-delhi-pdpid-4d4235333335333533,1400,"4,643 per sqft",Build Wick Realty provides you Luxury Builder Floors Build Wick Corner Homes in Chhattarpur near metro station at affordable prices with all modern amenities.
P_3,Aakash Sharma Sharma 1,7 Cr,4,New Property,2,,Semi-Furnished,,Premium Builder Floors,5,,Ready to Move, House True Real Estate Agents,,,"Premium Builder Floors,  Defence Colony , New Delhi",https://www.magicbricks.com/premium-builder-floors-defence-colony-new-delhi-pdpid-4d4235333331333831,2100,"33,333 per sqft","It is A Beautiful Builder Floor Apartment with all the modern aminities .It has Modular Kitchen ,Lift and Car Parking.It is in the Heart of New Delhi and is near by all the Top schools ,Hospitals,Market and Metro"
P_4,Aakash Sharma Sharma 2,3.50 Cr,3,New Property,,,Semi-Furnished,,Luxury Builder Floor,,2,Ready to Move, Findahouse.In,,,"Luxury Builder Floor,  Greater Kailash 2 , New Delhi",https://www.magicbricks.com/luxury-builder-floor-greater-kailash-2-new-delhi-pdpid-4d4235333330323231,1800,"19,444 per sqft","Luxury Builder Floor located in the heart of Greater Kailash 2, New Delhi.Our projects are only 2 minutes away from nearest Metro Station and it is only 30 to 35 minutes away from NOIDA, GURUGRAM & CANNAUGHT PLACE."
P_5,Aggarwal Real Estate,25 Lac,2,Resale,,East,Semi-Furnished,,,2,,Ready to Move,,11500,,New Delhi,,530,"4,545 per sqft",2BHK Ready To Move Well Maintained All Facility Available in Area Neraset Metro Station also Given Home Loan Facility Available in Area
P_6,J.R Developers,87 Lac,3,New Property,2,North,Semi-Furnished,Freehold,,2,1,Ready to Move,,11000,,"Rohini Sector 24 , New Delhi",,770,"10,235 per sqft",3 BHK The property is close to metro station and near to main market
P_7,Luxury Floors By Mark Developers,74.3 Lac,3,New Property,4,East,Semi-Furnished,Freehold,,2,1,Ready to Move,,1500,,"Chhattarpur , New Delhi",,1125,"5,941 per sqft","One of the popular residential projects that is located in Chattarpur, New Delhi. This project offers 3 BHK builder floor with basic amenities for the comfort of residents. With close proximity to Gurgaon and Faridabad. Gated society living within the reach of all Good Schools, Prominent Hospitals, Metro Station, Premium Shopping, Dining, Recreation and Entertainment that South Delhi has to offer, while still enjoying the quiet. Gated community which offers a safe and secure environment for families at a modest price which modern buyer wish to have."
P_8,Negi Associates,1.75 Cr,3,Resale,3,North - West,Unfurnished,Freehold,Manglik Apartment,2,,Ready to Move,,1000,,"Manglik Apartment,  Dwarka Sector 6 , New Delhi",https://www.magicbricks.com/manglik-apartment-dwarka-sector-6-new-delhi-pdpid-4d4235303131313634,1800,"9,722 per sqft","Property Description This is one of the premium apartments available for sale in dwarka with all modern amenities. Located at a very prime location well connected to NH8 and IGI Airport. Well Maintained society and local market, metro Station, School, Park, Bank, ATM etc located very near by this property. One of the best option for investment of Self use Purpose. Please call for more details"
P_9,Real Estate Consultant,80 Lac,3,New Property,2,North - East,Semi-Furnished,Freehold,,3,1,Ready to Move,,5500,,"Rohini Sector 21 , New Delhi",,1000,"7,273 per sqft",3 BHK This 2 side open top floor is with roof right and having additional 1 room and 1 bathroom on roof. This 3 BHK floor offering a fantastic view and surroundings. This flat is very spacious and gets ample light and cross ventilation. This 3 BHK floor is available for very competitive price. The flat has norare power cut The flat has marble flooring and has all the amenities like Power back up Parking Security School Park Bank Atm Hospital Metro and road connectivity etc.. contact for more details.
P_10,Growmax Wealth Management Services,98 Lac,2,New Property,9,North - East,Semi-Furnished,Freehold,,2,1,Ready to Move,,1000,,"Dwarka Mor , New Delhi",,1100,"8,167 per sqft",Property is ready to move in 9th floor park facing Unit Excellent location It offers all the amenities to facilitate the needs of the residents Facilities like round the clock security water storage and waste disposal are also available. Call now for more information and best deal.
P_11,Raghuvanshi Properties,37 Lac,3,New Property,2,East,Unfurnished,Freehold,,2,,Ready to Move,,100,,"Dwarka Mor , New Delhi",,729,"4,568 per sqft",good materials and lo prices. maximum office going locality. weekly market nearby.
P_12,Trinetra Realtors 1,1.80 Cr,3,Resale,5,North - East,Unfurnished,Freehold,,3,,Ready to Move,,100,,"Dwarka Sector 4 , New Delhi",,1850,"9,730 per sqft","This is one of the premium apartments available for sale in dwarka with all modern amenities. Located at a very prime location  well connected to NH8 and IGI Airport. Well Maintained society and local market, metro Station, School, Park, Bank, ATM etc located very near by this property. One of the best option for investment or Self use Purpose. Please call for more details."
P_13,Trinetra Realtors 2,95 Lac,2,Resale,2,West,Furnished,Freehold,Jangpura B,1,2,Ready to Move, Kaizen Realty,,,"Jangpura B,  Jangpura B, Jangpura , New Delhi",https://www.magicbricks.com/jangpura-b-jangpura-new-delhi-pdpid-4d4235313730313837,900,"10,556 per sqft","Park facing premium 2bhk floor available in a very premium location of Jangpura. Perfectly vaastu compliant floor. Luxury washroom already built. Amazing air ventilation as it has 2 balconies one in front and one in rear. Walking distance from market, metro stations etc. Centrally located having all major points of the city in close vicinity. Gated society which has 24 hrs non stop water supply. There is no electricity cut in this specific area as it is the most posh area of jangpura."
P_14,R V Properties,6.75 Cr,4,New Property,3,North - East,Semi-Furnished,Co-operative Society,,4,2,Under Construction,,2500,,"Greater Kailash 1 , New Delhi",,300,"25,000 per sqft","RV Property offers you under construction  builder floor currently available for sale in Greater Kailash with park facing view having third floor with terrace garden, plot size 300 sq. yards, 4 bedrooms with attached bathrooms, living room, modular kitchen with chimney, servant quarter, lift, stilt car parking, north facing, security, peaceful area with excellent location wide road. We have many more options as per your requirements please feel free or contact with us."
P_15,White Collar Realty,5.60 Cr,4,New Property,5,North - East,Semi-Furnished,Freehold,TARC Tripundra,6,1,Under Construction,,100,,"TARC Tripundra,  Bijwasan , New Delhi",https://www.magicbricks.com/tarc-tripundra-bijwasan-new-delhi-pdpid-4d4235333332373335,2206,"25,385 per sqft","In the mid of Green FarmhousesInvestors EndBuyer FriendlyCloser to IGI Airport, Aero city, Ambience mallDedicated two Car parking space for each unitAll amenities 30000 sq ft club area, 4 swimming poolsAll weather indoor pool, Lap pool, Kids pool Jacuzzi poolFully loaded kitchen with electrical appliancesFDI Funded Project BAIN CAPITAL USSouth Delhi Vasant Vihar AddressVRV Air conditioning and Marble flooring"
P_16,Kaushal  Dubey 1,24 Cr,4,New Property,4,North,Furnished,Freehold,,5,6,Under Construction,,2000,,"Panchsheel Park , New Delhi",,6500,"34,286 per sqft","4 BHK, Builder Floor Apartment is available for Sale in Panchsheel Park, New Delhi for 24.0 Crore(s)"
P_17,Kaushal  Dubey 2,7.50 Cr,4,Resale,2,North,Semi-Furnished,Freehold,,5,2,Ready to Move, Blue Lotus Spaces,,,"Vasant Vihar , New Delhi",,3600,"20,833 per sqft","Original Pictures   Corner property close to park, very well-maintained property with 4 BHK constructed in the 400 Syds plot in the quiet and comfortable location of Vasant Vihar at a reasonable price and separate gate separate driveway. The apartment features include 4bedroom, bathing with top notch fittings plenty of storage big windows for natural lighting a modular kitchen and other high-end amenities. such as Granite Flooring Wooden Flooring Dining Room Living Room Cooking Stove with Chimney, Split Air conditioner and Servant Room. Many more options available."
P_18,Delhi Home 1,5.25 Cr,4,New Property,2,East,Semi-Furnished,Freehold,,5,2,Under Construction,,500,,"Greater Kailash 1 , New Delhi",,300,"19,444 per sqft","Under construction Second floor available for sale in Greater Kailash with 4 bhk attached washroom, powder room, living room, modular kitchen with chimney, servant quarter, lift, stilt car parking, north facing, security, peaceful area with excellent location wide road. We have many more options as per your requirements please feel free or contact with us."
P_19,Delhi Home 2,65 Lac,1,Resale,8,South - East,Furnished,Freehold,,1,,Ready to Move, Swaraj Enterprises,,,"Karam Pura , New Delhi",,410,"13,402 per sqft",East facing park facing one drawing room modular kitchen one bedroom and bathroom fully furnished newly renovated with all fine qualities material Area 485 sq. Ft. DLF Capital Greens Apartment Fully Furnished Modular Kitchen Airconditions Chimney automatic double bed curtains sofla microwave
P_20,Delhi Home 3,3.06 Cr,2,New Property,16,North - East,Semi-Furnished,Freehold,Godrej South Estate,2,1,Under Construction, SALES MARKETING,,,"Godrej South Estate,  Okhla , New Delhi",https://www.magicbricks.com/godrej-south-estate-okhla-new-delhi-pdpid-4d4235313235323335,1196,"25,585 per sqft","Godrej South Estate in Okhla, Delhi South by Godrej Properties is a residential project.The project offers Apartments with perfect combination of contemporary architecture and features to provide comfortable living.The Apartment are of the following configurations 2BHK,3BHK and 4BHK."
